Field: G37.554+0.201

217.7880954172~217.8056721688GHz LSRK
217.9062502474~218.0732293876GHz LSRK
218.1962666488~218.2392320416GHz LSRK
218.2929387826~218.3564103856GHz LSRK
218.4452706298~218.4970243984GHz LSRK

SpectralWindow: 27
219.0100421863~219.0608194843GHz LSRK
219.0940200253~219.1389384043GHz LSRK
219.1672565128~219.1819038103GHz LSRK
219.2336575948~219.3322827313GHz LSRK
219.3566948938~219.4016132728GHz LSRK
219.4113781378~219.4221194893GHz LSRK
219.4299313813~219.4572730033GHz LSRK
219.5168386798~219.5598040858GHz LSRK
219.5822632752~219.6242521947GHz LSRK
219.6545232763~219.6672176008GHz LSRK
219.6974886823~219.7150654393GHz LSRK
219.7795135483~219.7843959808GHz LSRK
219.7922078728~219.8019727378GHz LSRK
219.8185730083~219.8244319273GHz LSRK
219.8400557113~219.8439616573GHz LSRK
219.9543046318~219.9865286863GHz LSRK
220.0509767953~220.0929657148GHz LSRK
220.1662022023~220.1896378783GHz LSRK
220.2091676083~220.2218619328GHz LSRK
220.2306503113~220.2365092303GHz LSRK
220.2550624738~220.2990043663GHz LSRK
220.3273224748~220.3312284208GHz LSRK
220.3654054483~220.3702878808GHz LSRK
220.3898176108~220.3937235568GHz LSRK
220.4474303143~220.4611011253GHz LSRK
220.4698895038~220.4806308553GHz LSRK
220.5480084238~220.5616792348GHz LSRK
220.5909738298~220.6085505868GHz LSRK
220.6593278848~220.6671397768GHz LSRK
220.7071757233~220.7159641018GHz LSRK
220.7364703183~220.7423292373GHz LSRK
220.7657649133~220.7696708593GHz LSRK
220.7823651838~220.7882241028GHz LSRK
220.8097068058~220.8145892383GHz LSRK
220.8204481573~220.8282600493GHz LSRK
220.8634135633~220.8673195093GHz LSRK

SpectralWindow: 29
230.0549096761~230.2013829061GHz LSRK
230.2804784503~230.4054689399GHz LSRK
230.5988136035~230.8517240473GHz LSRK
230.9542553083~230.9796440015GHz LSRK
231.0294448997~231.1388115781GHz LSRK
231.3380151709~231.3760982107GHz LSRK
231.4200401797~231.7569286087GHz LSRK
231.8204003417~231.9063313033GHz LSRK

SpectralWindow: 31
231.9163749883~231.9232104071GHz LSRK
231.9349282679~231.9398107099GHz LSRK
231.9622699431~231.9964470371GHz LSRK
232.0306241311~232.0970253423GHz LSRK
232.1487792275~232.1634265535GHz LSRK
232.1819798331~232.2063920431GHz LSRK
232.2395926487~232.2786521847GHz LSRK
232.2981819527~232.3128292787GHz LSRK
232.3245471395~232.3431004191GHz LSRK
232.3782540015~232.4680909343GHz LSRK
232.4993385631~232.5276567267GHz LSRK
232.5618338207~232.5833165655GHz LSRK
232.5999168683~232.6555767071GHz LSRK
232.6799889171~232.6907302895GHz LSRK
232.6995186851~232.7122130343GHz LSRK
232.7356487559~232.7561550123GHz LSRK
232.7698258499~232.8401330147GHz LSRK
232.8577098059~232.8664982015GHz LSRK
232.8977458303~232.9114166679GHz LSRK
232.9231345287~232.9465702503GHz LSRK
232.9573116227~232.9709824603GHz LSRK
232.9846532979~233.0178539035GHz LSRK
233.0373836715~233.0578899279GHz LSRK
233.0774196959~233.0969494639GHz LSRK
233.1194086971~233.1252676275GHz LSRK
233.1604212099~233.1653036519GHz LSRK
233.1770215127~233.2111986066GHz LSRK
233.2297518862~233.2365873050GHz LSRK
233.2854117250~233.3293537030GHz LSRK
233.3488834710~233.3674367506GHz LSRK
233.3723191926~233.3762251462GHz LSRK
233.3898959838~233.3938019374GHz LSRK
233.4064962866~233.4152846822GHz LSRK
233.4865683354~233.4943802426GHz LSRK
233.5510165698~233.5558990118GHz LSRK
233.6144883158~233.6398770142GHz LSRK
233.7248315050~233.7306904354GHz LSRK

Field: G36.705+0.096

SpectralWindow: 25
216.6551833743~216.6629952623GHz LSRK
216.6913133563~216.7235373943GHz LSRK
216.7450200863~216.7586908903GHz LSRK
216.7655262923~216.7879854703GHz LSRK
216.8065387043~216.8524335463GHz LSRK
216.8661043503~216.8973519023GHz LSRK
216.9393408003~216.9793767263GHz LSRK
216.9950005023~217.0164831943GHz LSRK
217.1004609903~217.1815093283GHz LSRK
217.2098274223~217.2205687683GHz LSRK
217.2303336283~217.2518163203GHz LSRK
217.2693930683~217.3367706023GHz LSRK
217.3689946403~217.4090305663GHz LSRK
217.4422310903~217.5096086243GHz LSRK
217.5379267183~217.6121396543GHz LSRK
217.6375282903~217.6609639543GHz LSRK
217.6814701603~217.7674009283GHz LSRK
217.8093898263~217.8338019763GHz LSRK
217.8494257523~217.8582141263GHz LSRK
217.8806733043~217.8865322203GHz LSRK
217.9294976043~217.9421919223GHz LSRK
217.9666040723~218.0808529343GHz LSRK
218.1179594023~218.1589718143GHz LSRK
218.1990077403~218.2634558163GHz LSRK
218.3239979483~218.3796576503GHz LSRK
218.4470351843~218.4987889423GHz LSRK

